Row Labels,Sum of Employment_Rate_rP_gP_pall,Sum of Household_Income_rP_gP_pall,Sum of Individual_Income_Excluding_Spouse_rP_gP_pall,,,,,,
24003750102,0.7108,35359,24781,,,,,,
24003750201,0.7593,37194,29204,,,,,,
24003750203,0.7283,37879,28109,,,,,,
24005400702,0.8196,48236,33897,,,,,,
24005401302,0.7546,33599,26999,,,,,,
24005401506,0.801,38793,32476,,,,,,
24005401507,0.7648,33273,28621,,,,,,
24005402303,0.7449,30370,27833,,,,,,24510120202
24005402304,0.7824,31559,28418,,,,,,
24005402403,0.7992,34843,31968,,,,,,
24005402405,0.7598,31306,26757,,,,,,
24005403202,0.706,29898,25215,,,,,,
24005403601,0.7992,75513,43547,,,,,,
24005403602,0.7924,58546,39635,,,,,,
24005420500,0.7619,45165,29589,,,,,,
24005420600,0.753,42635,28423,,,,,,
24005421101,0.698,35768,25013,,,,,,
24005430900,0.7142,40369,27911,,,,,,
24005440100,0.796,55609,34814,,,,,,
24005440400,0.7883,48375,32836,,,,,,
24005441000,0.7477,34100,27180,,,,,,
24005452300,0.6998,32553,23964,,,,,,
24005490601,0.8045,64049,40410,,,,,,
24005490602,0.8654,60560,39889,,,,,,
24005490603,0.8192,63507,40963,,,,,,
24005491000,0.855,68851,43934,,,,,,
24005491100,0.7695,57223,36799,,,,,,
24005491300,0.8175,50529,37912,,,,,,
24005492500,,,,,,,,,
24510010100,0.7858,39259,28566,,,,,,
24510010200,0.7261,31108,24247,,,,,,
24510010300,0.7097,33660,24983,,,,,,
24510010400,0.7585,44105,29977,,,,,,
24510010500,0.7445,33161,26226,,,,,,
24510020100,0.7315,29083,22647,,,,,,
24510020200,0.6264,31059,21577,,,,,,
24510020300,0.7865,52863,39150,,,,,,
24510030100,0.6875,19867,18742,,,,,,
24510030200,0.7234,27607,23163,,,,,,
24510040100,0.7527,33047,27593,,,,,,
24510040200,0.6825,21579,16877,,,,,,
24510060100,0.6481,19473,16727,,,,,,
24510060200,0.6911,24081,20581,,,,,,
24510060300,0.6488,20803,19672,,,,,,
24510060400,0.6185,20617,18938,,,,,,
24510070100,0.7055,23304,21483,,,,,,
24510070200,0.6636,19977,18511,,,,,,
24510070300,0.661,17213,16572,,,,,,
24510070400,0.6662,19477,18694,,,,,,
24510080101,0.756,31912,27120,,,,,,
24510080102,0.7185,21607,21515,,,,,,
24510080200,0.6727,19122,18131,,,,,,
24510080301,0.6635,19744,18460,,,,,,
24510080302,0.7406,21714,20921,,,,,,
24510080400,0.6932,20089,19277,,,,,,
24510080500,0.6811,23070,20931,,,,,,
24510080600,0.7211,20471,19946,,,,,,
24510080700,0.6779,19370,17786,,,,,,
24510080800,0.6745,17386,15854,,,,,,
24510090100,0.7276,24827,23212,,,,,,
24510090200,0.7943,31759,28832,,,,,,
24510090300,0.7478,28147,24958,,,,,,
24510090400,0.6857,23006,21902,,,,,,
24510090500,0.7077,24301,21247,,,,,,
24510090600,0.6918,21017,20409,,,,,,
24510090700,0.7111,21938,21237,,,,,,
24510090800,0.6735,19724,18484,,,,,,
24510090900,0.6797,19381,18262,,,,,,
24510100100,0.6864,17650,17684,,,,,,
24510100200,0.6152,18919,17082,,,,,,
24510100300,,,,,,,,,
24510110100,0.7039,23998,19623,,,,,,
24510110200,0.6916,23225,21126,,,,,,
24510120100,0.7748,60859,43386,,,,,,
24510120201,0.7426,38508,27931,,,,,,
Campus,0.7784,53304,37232,,,,,,
24510120300,0.7178,22463,20647,,,,,,
24510120400,0.7159,21057,21031,,,,,,
24510120500,0.7311,21169,18824,,,,,,
24510120600,0.6258,23281,19414,,,,,,
24510120700,0.6347,25123,19475,,,,,,
24510130100,0.6609,17306,15921,,,,,,
24510130200,0.6802,21377,20187,,,,,,
24510130300,0.7196,20316,19321,,,,,,
24510130400,0.7008,23598,20784,,,,,,
24510130600,0.7156,35464,25718,,,,,,
24510130700,0.7092,38765,27631,,,,,,
24510130803,0.7303,35857,29004,,,,,,
24510130804,0.6355,34707,22770,,,,,,
24510130805,0.8738,38207,35573,,,,,,
24510130806,0.7629,32483,25508,,,,,,
24510140100,0.7425,37731,28926,,,,,,
24510140200,0.6768,19350,18504,,,,,,
24510140300,0.6289,18429,16874,,,,,,
24510150100,0.6622,17709,16983,,,,,,
24510150200,0.6861,20270,19198,,,,,,
24510150300,0.6718,22687,19755,,,,,,
24510150400,0.6803,20286,18821,,,,,,
24510150500,0.7308,24561,22829,,,,,,
24510150600,0.7075,20233,18863,,,,,,
24510150701,0.729,25970,23244,,,,,,
24510150702,0.725,26952,26666,,,,,,
24510150800,0.7471,25381,24478,,,,,,
24510150900,0.7416,24977,23512,,,,,,
24510151000,0.7279,23654,22013,,,,,,
24510151100,0.7628,28912,26312,,,,,,
24510151200,0.7483,22384,21261,,,,,,
24510151300,0.7102,21395,19963,,,,,,
24510160100,0.6599,20279,18483,,,,,,
24510160200,0.7021,19809,19207,,,,,,
24510160300,0.6697,19401,18970,,,,,,
24510160400,0.6761,19802,19575,,,,,,
24510160500,0.6966,22158,21639,,,,,,
24510160600,0.7199,22748,21565,,,,,,
24510160700,0.6925,21705,19546,,,,,,
24510160801,0.7175,23701,22336,,,,,,
24510160802,0.7146,22834,21223,,,,,,
24510170100,0.7788,24776,23163,,,,,,
24510170200,0.6748,19019,17947,,,,,,
24510170300,0.7033,19493,17127,,,,,,
24510180100,0.6023,15979,14365,,,,,,
24510180200,0.6736,22926,22255,,,,,,
24510180300,0.623,22384,19083,,,,,,
24510190100,0.6441,18168,16972,,,,,,
24510190200,0.6118,21278,16632,,,,,,
24510190300,0.5858,19764,16142,,,,,,
24510200100,0.7456,21614,22333,,,,,,
24510200200,0.6977,19401,18492,,,,,,
24510200300,0.5863,19404,15614,,,,,,
24510200400,0.6804,17979,16603,,,,,,
24510200500,0.5649,20019,14938,,,,,,
24510200600,0.6611,22959,19912,,,,,,
24510200701,0.7279,25104,23051,,,,,,
24510200702,0.7393,23275,21015,,,,,,
24510200800,0.7332,26669,23633,,,,,,
24510210100,0.6266,19924,16182,,,,,,
24510210200,0.6386,25184,18843,,,,,,
24510220100,0.7748,48714,36380,,,,,,
24510230100,0.603,21648,18182,,,,,,
24510230200,0.6986,34584,24138,,,,,,
24510230300,0.6487,26589,18388,,,,,,
24510240100,0.6974,41988,28528,,,,,,
24510240200,0.78,50598,37172,,,,,,
24510240300,0.6658,33259,20985,,,,,,
24510240400,0.6897,37546,27057,,,,,,
24510250101,0.7804,28901,26218,,,,,,
24510250102,0.7331,25562,23958,,,,,,
24510250103,0.7241,40634,28314,,,,,,
24510250203,0.7259,21642,20019,,,,,,
24510250204,0.6994,17902,16789,,,,,,
24510250205,0.6774,25836,21078,,,,,,
24510250206,0.7205,33943,25518,,,,,,
24510250207,0.6727,22207,21337,,,,,,
24510250301,0.676,19279,17370,,,,,,
24510250303,0.684,31533,23272,,,,,,
24510250401,0.7017,31454,22234,,,,,,
24510250402,0.6676,25348,18786,,,,,,
24510250500,0.6518,24644,18416,,,,,,
24510250600,0.5103,23009,17457,,,,,,
24510260101,0.734,34720,27213,,,,,,
24510260102,0.7601,30843,27066,,,,,,
24510260201,0.748,27754,23780,,,,,,
24510260202,0.715,25652,23197,,,,,,
24510260203,0.736,25018,22966,,,,,,
24510260301,0.7034,24400,21636,,,,,,
24510260302,0.7552,28615,25686,,,,,,
24510260303,0.6821,18894,17118,,,,,,
24510260401,0.6424,30027,21070,,,,,,
24510260402,0.7431,23702,22371,,,,,,
24510260403,0.7154,22835,22133,,,,,,
24510260404,0.6707,24252,19267,,,,,,
24510260501,0.6945,36983,26814,,,,,,
24510260604,0.6255,19532,17340,,,,,,
24510260605,0.7468,34779,25520,,,,,,
24510260700,0.7108,32278,24042,,,,,,
24510260800,0.6856,30040,22071,,,,,,
24510260900,0.7352,32706,25060,,,,,,
24510261000,0.66,26563,20252,,,,,,
24510261100,0.7413,39841,27541,,,,,,
24510270101,0.7802,39473,30012,,,,,,
24510270102,0.7763,35963,29343,,,,,,
24510270200,0.8057,38140,31128,,,,,,
24510270301,0.7802,36213,28209,,,,,,
24510270302,0.787,40535,32647,,,,,,
24510270401,0.7466,34074,27033,,,,,,
24510270402,0.7788,42492,32371,,,,,,
24510270501,0.7431,47909,31089,,,,,,
24510270502,0.8001,41953,31310,,,,,,
24510270600,0.7762,39237,30776,,,,,,
24510270701,0.7054,23004,21003,,,,,,
24510270702,0.783,34637,27141,,,,,,
24510270703,0.8057,49708,34890,,,,,,
24510270801,0.7814,29990,26874,,,,,,
24510270802,0.7912,31168,28407,,,,,,
24510270803,0.7543,30166,26856,,,,,,
24510270804,0.7356,41890,30017,,,,,,
24510270805,0.722,28019,25372,,,,,,
24510270901,0.7673,28134,26246,,,,,,
24510270902,0.7779,29687,27017,,,,,,
24510270903,0.7888,32121,27612,,,,,,
24510271001,0.7139,20760,19798,,,,,,
24510271002,0.7457,24373,22368,,,,,,
24510271101,0.7188,39299,28958,,,,,,
24510271102,0.6986,62714,37888,,,,,,
24510271200,0.8435,66907,42081,,,,,,
24510271300,0.8098,68340,42781,,,,,,
24510271400,0.781,71859,43522,,,,,,
24510271501,0.8494,69634,46558,,,,,,
24510271503,0.767,46668,35185,,,,,,
24510271600,0.7198,21588,21061,,,,,,
24510271700,0.7028,23612,22274,,,,,,
24510271801,0.7204,22834,21359,,,,,,
24510271802,0.71,20829,19455,,,,,,
24510271900,0.7129,31367,26015,,,,,,
24510272003,0.66,43493,28544,,,,,,
24510272004,0.7193,48007,32277,,,,,,
24510272005,0.6772,53447,30136,,,,,,
24510272006,0.6801,39001,27663,,,,,,
24510272007,0.6371,38111,25872,,,,,,
24510280101,0.708,23921,22077,,,,,,
24510280102,0.7167,25637,23149,,,,,,
24510280200,0.7796,27936,25949,,,,,,
24510280301,0.7171,27223,24477,,,,,,
24510280302,0.7358,26262,24058,,,,,,
24510280401,0.7888,31896,29085,,,,,,
24510280402,0.7644,27472,24832,,,,,,
24510280403,0.7668,37885,30115,,,,,,
24510280404,0.7281,26152,24782,,,,,,
24510280500,0.7227,18192,17719,,,,,,
Grand Total,163.1524,6988048,5600557,,,,,,
